rides_previous_24_hour,rides_previous_23_hour,rides_previous_22_hour,rides_previous_21_hour,rides_previous_20_hour,rides_previous_19_hour,rides_previous_18_hour,rides_previous_17_hour,rides_previous_16_hour,rides_previous_15_hour,rides_previous_14_hour,rides_previous_13_hour,rides_previous_12_hour,rides_previous_11_hour,rides_previous_10_hour,rides_previous_9_hour,rides_previous_8_hour,rides_previous_7_hour,rides_previous_6_hour,rides_previous_5_hour,rides_previous_4_hour,rides_previous_3_hour,rides_previous_2_hour,rides_previous_1_hour,pickup_location_id,prediction
0.0,1.0,2.0,1.0,3.0,1.0,2.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0.7069781457319357
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.34474786540973645
0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,3,0.41779396674526237
4.0,13.0,8.0,7.0,14.0,6.0,13.0,10.0,3.0,6.0,6.0,3.0,4.0,3.0,0.0,0.0,1.0,3.0,8.0,13.0,22.0,16.0,8.0,5.0,4,5.7112760161685925
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.34474786540973645
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6,0.40636138589124565
5.0,4.0,7.0,4.0,3.0,7.0,17.0,9.0,10.0,10.0,7.0,6.0,7.0,0.0,0.0,1.0,2.0,4.0,8.0,19.0,18.0,6.0,6.0,5.0,7,4.114429788590584
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.34474786540973645
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9,0.5437256503244247
1.0,4.0,6.0,2.0,3.0,0.0,3.0,2.0,3.0,2.0,0.0,4.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,8.0,4.0,3.0,2.0,1.0,10,1.638747391407686
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,11,0.34474786540973645
5.0,4.0,5.0,3.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,12,2.183097397604772
37.0,35.0,30.0,25.0,23.0,24.0,21.0,12.0,6.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,10.0,32.0,35.0,22.0,19.0,17.0,13,27.422580534868743
1.0,1.0,2.0,0.0,2.0,0.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,8.0,6.0,2.0,3.0,1.0,14,0.9193269405029667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15,0.41779396674526237
